wavelength,flux
5207.148,53.8812
5208.349,54.5620
5209.547,55.0421
5210.749,55.6133
5211.947,57.6845
5213.146,55.8593
5214.348,54.8932
5215.548,55.2764
5216.750,53.8113
5217.951,57.7628
5219.154,58.3776
5220.354,59.2976
5221.556,59.0328
5222.760,59.3466
5223.961,60.9910
5225.166,61.2666
5226.368,60.5359
5227.573,64.6213
5228.775,61.1144
5229.979,60.1810
5231.185,62.4167
5232.388,61.9925
5233.594,62.8289
5234.798,65.3409
5236.005,63.8935
5237.210,64.0274
5238.415,63.7136
5239.623,63.5515
5240.828,61.3845
5242.037,64.3655
5243.243,62.8416
5244.452,63.9467
5245.658,63.1799
5246.865,61.7500
5248.075,61.3341
5249.282,64.6917
